,CPUIdle,CPUUsage,HTTPRequestCount,IOWait,MemoryUsage,app_http_request_latency_GET_metrics_0.5,app_http_request_latency_GET_metrics_0.9,app_http_request_latency_GET_metrics_0.99,app_http_request_latency_GET_recipes_0.5,app_http_request_latency_GET_recipes_0.9,app_http_request_latency_GET_recipes_0.99,app_http_request_latency_POST_houses_0.5,app_http_request_latency_POST_houses_0.9,app_http_request_latency_POST_houses_0.99,app_http_request_latency_POST_recipes_0.5,app_http_request_latency_POST_recipes_0.9,app_http_request_latency_POST_recipes_0.99,app_http_request_latency_POST_schedules_0.5,app_http_request_latency_POST_schedules_0.9,app_http_request_latency_POST_schedules_0.99,app_http_request_latency_POST_startworkflow_0.5,app_http_request_latency_POST_startworkflow_0.9,app_http_request_latency_POST_startworkflow_0.99,app_http_request_latency_POST_storages_0.5,app_http_request_latency_POST_storages_0.9,app_http_request_latency_POST_storages_0.99,app_http_request_latency_POST_users_0.5,app_http_request_latency_POST_users_0.9,app_http_request_latency_POST_users_0.99,app_knobs_k1,app_knobs_k2,app_knobs_k3,app_knobs_k4,app_knobs_k5,
0E+00,6.104999999998655E+01,3.895000000001346E+01,1E+00,1.0999999999999943E+00,5.864344796752364E+01,1E+00,2E+00,5E+00,1.003E+03,1.007E+03,1.176E+03,3.057E+03,3.09E+03,3.826E+03,2.353E+03,2.597E+03,4.326E+03,4.9E+01,6.91E+02,1.279E+03,0E+00,0E+00,0E+00,1.691E+03,3.038E+03,4.095E+03,5.2E+01,1.66E+02,5.54E+02,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,8.545000000000528E+01,1.454999999999471E+01,8E-01,2.050000000000338E+00,5.8571502334929434E+01,1E+00,2E+00,5E+00,1.003E+03,1.007E+03,1.176E+03,3.057E+03,3.09E+03,3.826E+03,2.347E+03,2.597E+03,4.326E+03,4.9E+01,6.91E+02,1.279E+03,0E+00,0E+00,0E+00,1.691E+03,3.038E+03,4.095E+03,5.2E+01,1.66E+02,5.54E+02,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,5.0549999999986994E+01,4.9450000000013006E+01,1.6E+00,1.0399999999999707E+01,5.9035600607769304E+01,1E+00,2E+00,5E+00,1.004E+03,1.008E+03,1.193E+03,3.062E+03,3.826E+03,3.826E+03,2.37E+03,2.597E+03,4.326E+03,4.9E+01,6.92E+02,7.64E+02,0E+00,0E+00,0E+00,1.691E+03,3.038E+03,3.147E+03,6.5E+01,2.57E+02,5.54E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,8.665000000000418E+01,1.3349999999995816E+01,6.000000000000001E-01,1.2499999999997868E+00,5.919882420280446E+01,1E+00,2E+00,3E+00,1.004E+03,1.009E+03,1.244E+03,3.062E+03,3.826E+03,3.826E+03,2.37E+03,4.326E+03,4.326E+03,4.9E+01,6.92E+02,7.64E+02,0E+00,0E+00,0E+00,1.417E+03,2.365E+03,3.038E+03,6.5E+01,2.57E+02,5.54E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,4.750000000001137E+01,5.249999999998863E+01,8E-01,1.7000000000000883E+00,5.9885464510614305E+01,1E+00,2E+00,5E+00,1.004E+03,1.008E+03,1.244E+03,3.062E+03,3.826E+03,3.826E+03,2.37E+03,2.597E+03,4.326E+03,4.9E+01,6.92E+02,7.64E+02,0E+00,0E+00,0E+00,1.32E+03,2.365E+03,3.038E+03,6.5E+01,2.57E+02,5.54E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,7.029999999999063E+01,2.9700000000009368E+01,8E-01,2.250000000000156E+00,5.891008729158709E+01,1E+00,2E+00,5E+00,1.004E+03,1.008E+03,1.193E+03,3.062E+03,3.826E+03,3.826E+03,2.37E+03,2.597E+03,4.326E+03,4.9E+01,6.92E+02,1.142E+03,0E+00,0E+00,0E+00,1.884E+03,3.147E+03,4.095E+03,6.5E+01,2.57E+02,5.54E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,7.584999999999353E+01,2.415000000000647E+01,8E-01,6.500000000003325E-01,5.9782269023318456E+01,1E+00,2E+00,5E+00,1.004E+03,1.008E+03,1.193E+03,3.062E+03,3.826E+03,3.826E+03,2.37E+03,2.597E+03,4.326E+03,4.9E+01,6.92E+02,7.64E+02,0E+00,0E+00,0E+00,1.32E+03,2.365E+03,3.038E+03,6.5E+01,2.57E+02,5.54E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,8.85500000000161E+01,1.1449999999983902E+01,6.000000000000001E-01,6.000000000005201E-01,5.83493273695135E+01,1E+00,2E+00,3E+00,1.004E+03,1.009E+03,1.244E+03,3.062E+03,3.826E+03,3.826E+03,2.37E+03,4.326E+03,4.326E+03,4.9E+01,6.92E+02,7.64E+02,0E+00,0E+00,0E+00,1.417E+03,2.365E+03,3.038E+03,6.5E+01,2.57E+02,5.54E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,7.834999999999354E+01,2.1650000000006457E+01,1.6E+00,7.85000000000025E+00,5.8445621949193175E+01,1E+00,2E+00,3E+00,1.004E+03,1.009E+03,1.244E+03,3.062E+03,3.826E+03,3.826E+03,2.353E+03,2.534E+03,4.326E+03,4.9E+01,6.92E+02,7.64E+02,0E+00,0E+00,0E+00,1.32E+03,2.365E+03,3.038E+03,6.5E+01,2.57E+02,5.54E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,7.114999999999098E+01,2.8850000000009018E+01,1.2E+00,5.999999999998096E-01,5.943967077286983E+01,1E+00,2E+00,5E+00,1.004E+03,1.008E+03,1.193E+03,3.062E+03,3.826E+03,3.826E+03,2.37E+03,2.597E+03,4.326E+03,4.9E+01,6.92E+02,7.64E+02,0E+00,0E+00,0E+00,1.32E+03,2.365E+03,3.038E+03,6.5E+01,2.57E+02,5.54E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,4.725000000000137E+01,5.274999999999863E+01,1.4000000000000001E+00,1.4549999999999985E+01,5.891740421136452E+01,1E+00,2E+00,5E+00,1.004E+03,1.008E+03,1.193E+03,3.062E+03,3.826E+03,3.826E+03,2.37E+03,2.597E+03,4.326E+03,4.9E+01,6.92E+02,1.142E+03,0E+00,0E+00,0E+00,1.691E+03,3.147E+03,3.203E+03,6.5E+01,2.57E+02,5.54E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,8.849999999999454E+01,1.1500000000005457E+01,4E-01,1.2500000000003553E+00,5.913896739419037E+01,1E+00,2E+00,3E+00,1.004E+03,1.01E+03,1.244E+03,3.062E+03,3.826E+03,3.826E+03,2.353E+03,4.326E+03,4.326E+03,4.9E+01,6.92E+02,7.64E+02,0E+00,0E+00,0E+00,1.417E+03,2.365E+03,3.038E+03,6.5E+01,2.57E+02,5.54E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,8.760000000000446E+01,1.2399999999995543E+01,1.2E+00,6.49999999999622E-01,5.844975759950216E+01,1E+00,2E+00,3E+00,1.004E+03,1.009E+03,1.244E+03,3.062E+03,3.826E+03,3.826E+03,2.353E+03,2.534E+03,4.326E+03,4.9E+01,6.92E+02,7.64E+02,0E+00,0E+00,0E+00,1.32E+03,2.365E+03,3.038E+03,6.5E+01,2.57E+02,5.54E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
