CPUIdle,CPUUsage,HTTPRequestCount,IOWait,MemoryUsage,ReadTime,WriteTime,app_http_request_latency_GET_metrics_0.5,app_http_request_latency_GET_metrics_0.9,app_http_request_latency_GET_metrics_0.99,app_http_request_latency_GET_recipes_0.5,app_http_request_latency_GET_recipes_0.9,app_http_request_latency_GET_recipes_0.99,app_http_request_latency_POST_houses_0.5,app_http_request_latency_POST_houses_0.9,app_http_request_latency_POST_houses_0.99,app_http_request_latency_POST_recipes_0.5,app_http_request_latency_POST_recipes_0.9,app_http_request_latency_POST_recipes_0.99,app_http_request_latency_POST_schedules_0.5,app_http_request_latency_POST_schedules_0.9,app_http_request_latency_POST_schedules_0.99,app_http_request_latency_POST_startworkflow_0.5,app_http_request_latency_POST_startworkflow_0.9,app_http_request_latency_POST_startworkflow_0.99,app_http_request_latency_POST_storages_0.5,app_http_request_latency_POST_storages_0.9,app_http_request_latency_POST_storages_0.99,app_http_request_latency_POST_users_0.5,app_http_request_latency_POST_users_0.9,app_http_request_latency_POST_users_0.99,app_knobs_k1,app_knobs_k2,app_knobs_k3,app_knobs_k4,app_knobs_k5,
1.9992003199156894E-01,9.980007996800843E+01,1.5999999999999999E+00,0E+00,5.531992681122519E+01,0E+00,3.15265893642543E+05,2E+00,1.5E+01,2.9E+01,1.0019E+04,1.0042E+04,1.0074E+04,6E+01,1.09E+02,2.55E+02,5.646E+03,8.025E+03,1.0031E+04,7.9E+01,9.46E+02,1.53E+03,NaN,NaN,NaN,9.132E+03,1.8984E+04,2.3553E+04,5.04E+03,5.06E+03,5.093E+03,1E+03,2E+03,3E+03,4E+00,5E+03,
1.5000000001236913E-01,9.984999999998763E+01,1.5999999999999999E+00,2.5000000000147793E-01,5.535969267958083E+01,1.6384E+03,2.277376E+05,2E+00,1.6E+01,2.9E+01,1.001E+04,1.0041E+04,1.0074E+04,6E+01,1.09E+02,2.55E+02,5.646E+03,8.025E+03,1.0031E+04,7.9E+01,9.46E+02,1.53E+03,NaN,NaN,NaN,8.51E+03,1.8769E+04,2.3553E+04,5.04E+03,5.06E+03,5.093E+03,1E+03,2E+03,3E+03,4E+00,5E+03,
6.854112467466292E+00,9.31458875325337E+01,1.5999999999999999E+00,2.5015009005380495E-01,5.522960322962477E+01,0E+00,8.60676405843506E+04,2E+00,1.6E+01,2.9E+01,7.2E+01,1.004E+04,1.0072E+04,5.6E+01,1.09E+02,2.55E+02,5.646E+03,8.025E+03,1.0031E+04,7.9E+01,9.46E+02,1.53E+03,NaN,NaN,NaN,7.866E+03,1.8769E+04,2.3553E+04,5.04E+03,5.06E+03,5.093E+03,1E+03,2E+03,3E+03,4E+00,5E+03,
5.003001801189853E-02,9.99499699819881E+01,1.6E+00,1.0006003602152196E-01,5.521844431518158E+01,0E+00,4.844378627176306E+05,2E+00,1.5E+01,2.9E+01,1.002E+04,1.0043E+04,1.0074E+04,6E+01,1.09E+02,2.55E+02,5.563E+03,8.025E+03,1.0031E+04,7.9E+01,9.46E+02,1.53E+03,NaN,NaN,NaN,9.163E+03,1.8984E+04,2.3553E+04,5.04E+03,5.06E+03,5.093E+03,1E+03,2E+03,3E+03,4E+00,5E+03,
