,CPUIdle,CPUUsage,HTTPRequestCount,IOWait,MemoryUsage,app_http_request_latency_GET_metrics_0.5,app_http_request_latency_GET_metrics_0.9,app_http_request_latency_GET_metrics_0.99,app_http_request_latency_GET_recipes_0.5,app_http_request_latency_GET_recipes_0.9,app_http_request_latency_GET_recipes_0.99,app_http_request_latency_POST_houses_0.5,app_http_request_latency_POST_houses_0.9,app_http_request_latency_POST_houses_0.99,app_http_request_latency_POST_recipes_0.5,app_http_request_latency_POST_recipes_0.9,app_http_request_latency_POST_recipes_0.99,app_http_request_latency_POST_schedules_0.5,app_http_request_latency_POST_schedules_0.9,app_http_request_latency_POST_schedules_0.99,app_http_request_latency_POST_startworkflow_0.5,app_http_request_latency_POST_startworkflow_0.9,app_http_request_latency_POST_startworkflow_0.99,app_http_request_latency_POST_storages_0.5,app_http_request_latency_POST_storages_0.9,app_http_request_latency_POST_storages_0.99,app_http_request_latency_POST_users_0.5,app_http_request_latency_POST_users_0.9,app_http_request_latency_POST_users_0.99,app_knobs_k1,app_knobs_k2,app_knobs_k3,app_knobs_k4,app_knobs_k5,
0E+00,9.664999999997235E+01,3.3500000000276486E+00,1E+00,8.999999999997498E-01,4.694127058434292E+01,1E+00,3E+00,3E+00,1.004E+03,1.011E+03,1.136E+03,3.056E+03,3.078E+03,3.078E+03,2.45E+03,2.482E+03,2.497E+03,4.5E+01,8.05E+02,1.051E+03,0E+00,0E+00,0E+00,1.249E+03,2.076E+03,2.817E+03,4.3E+01,7.9E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,7.71999999999389E+01,2.2800000000061118E+01,1.3997200559888021E+00,1.3549999999999615E+01,4.694158871128976E+01,1E+00,3E+00,3E+00,1.004E+03,1.012E+03,1.136E+03,3.056E+03,3.074E+03,3.078E+03,2.45E+03,2.482E+03,2.497E+03,4.5E+01,6.79E+02,8.05E+02,0E+00,0E+00,0E+00,1.316E+03,2.076E+03,2.817E+03,4.3E+01,7.9E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,9.669999999994616E+01,3.300000000053842E+00,1E+00,1.4999999999986358E-01,4.641819646981868E+01,1E+00,3E+00,4E+00,1.004E+03,1.012E+03,1.136E+03,3.056E+03,3.078E+03,3.081E+03,2.402E+03,2.482E+03,2.497E+03,4.6E+01,6.73E+02,1.051E+03,0E+00,0E+00,0E+00,1.249E+03,2.337E+03,2.817E+03,4.3E+01,7.4E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,8.465000000000144E+01,1.5349999999998559E+01,1.6E+00,3.5500000000001815E+00,4.6419933932374526E+01,1E+00,3E+00,4E+00,1.004E+03,1.012E+03,1.136E+03,3.056E+03,3.078E+03,3.081E+03,2.402E+03,2.482E+03,2.497E+03,4.6E+01,6.73E+02,1.051E+03,0E+00,0E+00,0E+00,1.249E+03,2.337E+03,2.817E+03,4.3E+01,7.4E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,7.039999999997235E+01,2.960000000002765E+01,1.2E+00,8.900000000000432E+00,4.651079588265423E+01,1E+00,3E+00,4E+00,1.004E+03,1.012E+03,1.136E+03,3.056E+03,3.078E+03,3.081E+03,2.386E+03,2.482E+03,2.497E+03,4.6E+01,6.73E+02,1.051E+03,0E+00,0E+00,0E+00,1.249E+03,2.337E+03,2.817E+03,4.3E+01,7.4E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,7E+01,3E+01,1E+00,1.9599999999999795E+01,4.668121404094881E+01,1E+00,3E+00,4E+00,1.004E+03,1.012E+03,1.136E+03,3.056E+03,3.078E+03,3.081E+03,2.386E+03,2.482E+03,2.497E+03,4.6E+01,6.73E+02,1.051E+03,0E+00,0E+00,0E+00,1.249E+03,2.306E+03,2.817E+03,4.3E+01,7.4E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,9.17500000000291E+01,8.249999999970896E+00,1.4E+00,2.3500000000001364E+00,4.6412959610847544E+01,1E+00,3E+00,4E+00,1.004E+03,1.012E+03,1.136E+03,3.056E+03,3.078E+03,3.081E+03,2.386E+03,2.482E+03,2.497E+03,4.6E+01,6.79E+02,1.051E+03,0E+00,0E+00,0E+00,1.316E+03,2.337E+03,2.817E+03,4.3E+01,7.4E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,9.375000000003637E+01,6.249999999963634E+00,6.000000000000001E-01,1.2000000000006137E+00,4.6927077228252905E+01,1E+00,3E+00,5E+00,1.004E+03,1.01E+03,1.136E+03,3.056E+03,3.078E+03,3.081E+03,2.402E+03,2.482E+03,2.497E+03,4.6E+01,6.73E+02,1.051E+03,0E+00,0E+00,0E+00,1.19E+03,2.337E+03,2.817E+03,4.3E+01,7.4E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,9.68000000000393E+01,3.1999999999606956E+00,8E-01,9.000000000003182E-01,4.692994037077451E+01,1E+00,3E+00,4E+00,1.004E+03,1.011E+03,1.136E+03,3.056E+03,3.078E+03,3.081E+03,2.402E+03,2.482E+03,2.497E+03,4.6E+01,6.73E+02,1.051E+03,0E+00,0E+00,0E+00,1.19E+03,2.337E+03,2.817E+03,4.3E+01,7.4E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,9.024999999997817E+01,9.750000000021814E+00,6.000000000000001E-01,6.499999999999774E-01,4.712157514929331E+01,1E+00,3E+00,4E+00,1.004E+03,1.011E+03,1.136E+03,3.056E+03,3.078E+03,3.081E+03,2.402E+03,2.482E+03,2.497E+03,4.6E+01,6.73E+02,1.051E+03,0E+00,0E+00,0E+00,1.19E+03,2.337E+03,2.817E+03,4.3E+01,7.4E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,9.755000000001019E+01,2.4499999999898137E+00,6.000000000000001E-01,2.4999999999977263E-01,4.649143908150388E+01,1E+00,3E+00,4E+00,1.004E+03,1.012E+03,1.136E+03,3.056E+03,3.078E+03,3.081E+03,2.386E+03,2.482E+03,2.497E+03,4.6E+01,6.73E+02,1.051E+03,0E+00,0E+00,0E+00,1.249E+03,2.306E+03,2.817E+03,4.3E+01,7.4E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,8.270000000000437E+01,1.7299999999995634E+01,1E+00,1.2300000000000182E+01,4.6478224577558E+01,1E+00,3E+00,4E+00,1.004E+03,1.012E+03,1.136E+03,3.056E+03,3.078E+03,3.081E+03,2.386E+03,2.482E+03,2.497E+03,4.6E+01,6.79E+02,1.051E+03,0E+00,0E+00,0E+00,1.316E+03,2.337E+03,2.817E+03,4.3E+01,7.4E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,9.62000000000262E+01,3.7999999999738066E+00,8E-01,4.0000000000077307E-01,4.686619262488747E+01,1E+00,3E+00,5E+00,1.004E+03,1.01E+03,1.136E+03,3.056E+03,3.078E+03,3.081E+03,2.402E+03,2.482E+03,2.497E+03,4.6E+01,6.73E+02,1.051E+03,0E+00,0E+00,0E+00,1.19E+03,2.337E+03,2.817E+03,4.3E+01,7.4E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,9.545000000001892E+01,4.5499999999810825E+00,6.000000000000001E-01,3.500000000002501E-01,4.658058804053133E+01,1E+00,3E+00,4E+00,1.004E+03,1.012E+03,1.136E+03,3.056E+03,3.078E+03,3.081E+03,2.402E+03,2.482E+03,2.497E+03,4.6E+01,6.73E+02,1.051E+03,0E+00,0E+00,0E+00,1.19E+03,2.337E+03,2.817E+03,4.3E+01,7.4E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,8.855000000003201E+01,1.1449999999967986E+01,1.2000000000000002E+00,6.2999999999999545E+00,4.685934065987849E+01,1E+00,3E+00,5E+00,1.004E+03,1.011E+03,1.136E+03,3.056E+03,3.078E+03,3.081E+03,2.402E+03,2.482E+03,2.497E+03,4.6E+01,6.73E+02,1.051E+03,0E+00,0E+00,0E+00,1.19E+03,2.337E+03,2.817E+03,4.3E+01,7.4E+01,1.08E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
