timestamp,workload,io_wait,memory_usage,disk_write_bytes,cpu_usage,disk_read_bytes,cpu_idle,app_http_request_latency_houses_POST_0.5,app_http_request_latency_houses_POST_0.9,app_http_request_latency_houses_POST_0.99,app_http_request_latency_metrics_GET_0.5,app_http_request_latency_metrics_GET_0.9,app_http_request_latency_metrics_GET_0.99,app_http_request_latency_recipes_GET_0.5,app_http_request_latency_recipes_GET_0.9,app_http_request_latency_recipes_GET_0.99,app_http_request_latency_recipes_POST_0.5,app_http_request_latency_recipes_POST_0.9,app_http_request_latency_recipes_POST_0.99,app_http_request_latency_schedules_POST_0.5,app_http_request_latency_schedules_POST_0.9,app_http_request_latency_schedules_POST_0.99,app_http_request_latency_storages_POST_0.5,app_http_request_latency_storages_POST_0.9,app_http_request_latency_storages_POST_0.99,app_http_request_latency_users_POST_0.5,app_http_request_latency_users_POST_0.9,app_http_request_latency_users_POST_0.99,pg_checkpoint_completion_target,pg_default_statistics_target,pg_effective_cache_size_mb,pg_maintenance_work_mem_mb,pg_max_wal_size_gb,pg_min_wal_size_mb,pg_random_page_cost,pg_shared_buffers_mb,pg_wal_buffers_mb,pg_work_mem_kb,
1519758900,2.4,2.0500000000005514,59.743310707981735,166297.6,6.499999999996348,4915.2,93.50000000000365,44,90,93,1,2,3,0,0,1,53,72,118,23,638,1304,1109,2944,3569,30,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758902,2.4,2.0500000000005514,59.743310707981735,166297.6,6.499999999996348,4915.2,93.50000000000365,44,90,93,1,2,3,0,0,1,53,72,118,23,638,1304,1109,2944,3569,30,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758904,5.4,19.199999999999452,60.039095354636906,1.3615104e+06,25.950000000002547,0,74.04999999999745,44,90,93,1,2,3,0,0,1,53,72,118,24,638,1304,1109,2944,3569,30,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758906,5.4,19.199999999999452,60.039095354636906,1.3615104e+06,25.950000000002547,0,74.04999999999745,44,90,93,1,2,3,0,0,1,53,72,118,24,638,1304,1109,2944,3569,30,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758908,1.6,19.199999999999452,60.039095354636906,1.3615104e+06,25.950000000002547,0,74.04999999999745,44,90,93,1,2,3,0,0,1,53,73,118,24,638,1304,1040,2944,3569,35,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758910,1.6,2.500000000000284,59.759657538788844,321126.4,6.399999999985084,819.2,93.60000000001492,44,90,93,1,2,3,0,0,1,53,73,118,24,638,1304,1040,2944,3569,35,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758912,1.6,2.500000000000284,59.759657538788844,321126.4,6.399999999985084,819.2,93.60000000001492,44,90,93,1,2,3,0,0,1,53,73,118,24,638,1304,1040,2944,3569,35,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758914,2.2,0.9999999999998013,59.79389289253011,63897.6,8.050000000002925,0,91.94999999999709,44,90,93,1,1,3,0,0,1,52,72,118,24,638,1304,1040,2944,3569,35,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758916,2.2,0.9999999999998013,59.79389289253011,63897.6,8.050000000002925,0,91.94999999999709,44,90,93,1,1,3,0,0,1,52,72,118,24,638,1304,1040,2944,3569,35,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758918,1.8,0.9999999999998013,59.79389289253011,63897.6,8.050000000002925,0,91.94999999999709,44,90,93,1,1,3,0,0,1,53,72,118,24,638,1304,1040,2944,3569,35,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758920,1.8,0.6500000000001194,60.09958841714469,706150.4,5.35000000003491,819.2,94.64999999996509,44,90,93,1,1,3,0,0,1,53,72,118,24,638,1304,1040,2944,3569,35,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758922,1.8,0.6500000000001194,60.09958841714469,706150.4,5.35000000003491,819.2,94.64999999996509,44,90,93,1,1,3,0,0,1,53,72,118,24,638,1304,1040,2944,3569,35,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758924,1.8,0.6000000000001648,59.82773670541371,101580.8,4.499999999961801,0,95.5000000000382,44,90,93,1,2,3,0,0,1,52,72,118,24,638,1304,1040,2944,3569,35,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758926,1.8,0.6000000000001648,59.82773670541371,101580.8,4.499999999961801,0,95.5000000000382,44,90,93,1,2,3,0,0,1,52,72,118,24,638,1304,1040,2944,3569,35,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758928,3.2,0.6000000000001648,59.82773670541371,101580.8,4.499999999961801,0,95.5000000000382,44,90,93,1,2,3,0,0,1,52,72,118,24,637,1304,1005,2944,3569,35,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758930,3.2,10.999999999999517,59.92647841545372,492339.2,24.350000000004002,1638.4,75.649999999996,44,90,93,1,2,3,0,0,1,52,72,118,24,637,1304,1005,2944,3569,35,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758932,3.2,10.999999999999517,59.92647841545372,492339.2,24.350000000004002,1638.4,75.649999999996,44,90,93,1,2,3,0,0,1,52,72,118,24,637,1304,1005,2944,3569,35,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758934,4.6,10.650000000000121,60.330450695339856,1.0231808e+06,26.450000000022555,0,73.54999999997744,44,90,134,1,2,3,0,0,1,53,74,118,24,637,1304,1005,2944,3569,36,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758936,4.6,10.650000000000121,60.330450695339856,1.0231808e+06,26.450000000022555,0,73.54999999997744,44,90,134,1,2,3,0,0,1,53,74,118,24,637,1304,1005,2944,3569,36,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
1519758938,2,10.650000000000121,60.330450695339856,1.0231808e+06,26.450000000022555,0,73.54999999997744,44,90,134,1,2,3,0,0,1,53,74,118,24,637,1304,1005,2556,3569,36,63,90,0.7,100,128,16,2,1000,4,128,128,1024,
