timestamp,workload,app_http_request_latency_houses_POST_0.5,app_http_request_latency_houses_POST_0.9,app_http_request_latency_houses_POST_0.99,app_http_request_latency_metrics_GET_0.5,app_http_request_latency_metrics_GET_0.9,app_http_request_latency_metrics_GET_0.99,app_http_request_latency_recipes_GET_0.5,app_http_request_latency_recipes_GET_0.9,app_http_request_latency_recipes_GET_0.99,app_http_request_latency_recipes_POST_0.5,app_http_request_latency_recipes_POST_0.9,app_http_request_latency_recipes_POST_0.99,app_http_request_latency_schedules_POST_0.5,app_http_request_latency_schedules_POST_0.9,app_http_request_latency_schedules_POST_0.99,app_http_request_latency_storages_POST_0.5,app_http_request_latency_storages_POST_0.9,app_http_request_latency_storages_POST_0.99,app_http_request_latency_users_POST_0.5,app_http_request_latency_users_POST_0.9,app_http_request_latency_users_POST_0.99,pg_checkpoint_completion_target,pg_checkpoint_segments,pg_default_statistics_target,pg_effective_cache_size_mb,pg_maintenance_work_mem_mb,pg_random_page_cost,pg_shared_buffers_mb,pg_wal_buffers_mb,pg_work_mem_kb
1517599254,4.8,45,89,633,1,2,3,7,13,43,372,640,1307,46,1162,1268,2308,4050,4474,35,102,1846,0.1,1,30,16,8,2,16,2,512
1517599256,4.8,45,89,633,1,2,3,7,13,43,372,640,1307,46,1162,1268,2308,4050,4474,35,102,1846,0.1,1,30,16,8,2,16,2,512
1517599258,8.2,45,89,633,1,2,3,7,14,44,372,641,1307,46,1162,1270,2308,4050,4474,35,102,1846,0.1,1,30,16,8,2,16,2,512
1517599260,8.2,45,89,633,1,2,3,7,14,44,372,641,1307,46,1162,1270,2308,4050,4474,35,102,1846,0.1,1,30,16,8,2,16,2,512
1517599262,8.2,45,89,633,1,2,3,7,14,43,372,644,1307,46,1162,1270,2263,4258,4643,36,102,1846,0.1,1,30,16,8,2,16,2,512
1517599264,8.2,45,89,633,1,2,3,7,14,43,372,644,1307,46,1162,1270,2263,4258,4643,36,102,1846,0.1,1,30,16,8,2,16,2,512
1517599266,8.2,45,89,633,1,2,3,7,14,43,372,644,1307,46,1162,1270,2263,4258,4643,36,102,1846,0.1,1,30,16,8,2,16,2,512
1517599268,6.8,63,89,633,1,2,3,7,14,43,372,641,1307,46,1174,1270,2245,4258,4643,36,102,1846,0.1,1,30,16,8,2,16,2,512
1517599270,6.8,63,89,633,1,2,3,7,14,43,372,641,1307,46,1174,1270,2245,4258,4643,36,102,1846,0.1,1,30,16,8,2,16,2,512
1517599272,6,63,89,633,1,2,3,7,14,43,372,641,1307,46,1162,1270,2245,4258,4643,36,102,1846,0.1,1,30,16,8,2,16,2,512
1517599274,6,63,89,633,1,2,3,7,14,43,372,641,1307,46,1162,1270,2245,4258,4643,36,102,1846,0.1,1,30,16,8,2,16,2,512
1517599276,6,63,89,633,1,2,3,7,14,43,372,641,1307,46,1162,1270,2245,4258,4643,36,102,1846,0.1,1,30,16,8,2,16,2,512
1517599278,5,65,89,633,1,2,3,7,14,43,374,650,1307,46,1162,1270,2263,4258,4643,36,102,1846,0.1,1,30,16,8,2,16,2,512
1517599280,5,65,89,633,1,2,3,7,14,43,374,650,1307,46,1162,1270,2263,4258,4643,36,102,1846,0.1,1,30,16,8,2,16,2,512
1517599282,7,65,89,633,1,2,3,7,14,43,375,644,1307,46,1160,1270,2113,4050,4643,36,102,1846,0.1,1,30,16,8,2,16,2,512
1517599284,7,65,89,633,1,2,3,7,14,43,375,644,1307,46,1160,1270,2113,4050,4643,36,102,1846,0.1,1,30,16,8,2,16,2,512
1517599286,7,65,89,633,1,2,3,7,14,43,375,644,1307,46,1160,1270,2113,4050,4643,36,102,1846,0.1,1,30,16,8,2,16,2,512
1517599288,5.4,66,89,633,1,2,3,7,14,43,375,644,1307,46,1160,1270,2058,4050,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599290,5.4,66,89,633,1,2,3,7,14,43,375,644,1307,46,1160,1270,2058,4050,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599292,6,66,90,633,1,2,3,7,14,43,376,642,1307,46,1160,1270,2113,4050,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599294,6,66,90,633,1,2,3,7,14,43,376,642,1307,46,1160,1270,2113,4050,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599296,6,66,90,633,1,2,3,7,14,43,376,642,1307,46,1160,1270,2113,4050,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599298,7.6,66,90,633,1,2,3,7,14,43,374,641,1307,46,1157,1268,2058,4050,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599300,7.6,66,90,633,1,2,3,7,14,43,374,641,1307,46,1157,1268,2058,4050,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
